country;world_bank_income
Afghanistan;Low income
Burkina Faso;Low income
Burundi;Low income
Central African Republic;Low income
Chad;Low income
Congo, Dem. Rep.;Low income
Eritrea;Low income
Ethiopia;Low income
Gambia, The;Low income
Guinea-Bissau;Low income
Korea, Dem. People's Rep.;Low income
Liberia;Low income
Madagascar;Low income
Malawi;Low income
Mali;Low income
Mozambique;Low income
Niger;Low income
Rwanda;Low income
Sierra Leone;Low income
Somalia;Low income
South Sudan;Low income
Sudan;Low income
Syrian Arab Republic;Low income
Togo;Low income
Uganda;Low income
Yemen, Rep.;Low income
Albania;Upper middle income
Argentina;Upper middle income
Armenia;Upper middle income
Azerbaijan;Upper middle income
Belarus;Upper middle income
Belize;Upper middle income
Bosnia and Herzegovina;Upper middle income
Botswana;Upper middle income
Brazil;Upper middle income
Bulgaria;Upper middle income
China;Upper middle income
Colombia;Upper middle income
Costa Rica;Upper middle income
Cuba;Upper middle income
Dominica;Upper middle income
Dominican Republic;Upper middle income
Ecuador;Upper middle income
El Salvador;Upper middle income
Equatorial Guinea;Upper middle income
Fiji;Upper middle income
Gabon;Upper middle income
Georgia;Upper middle income
Grenada;Upper middle income
Guatemala;Upper middle income
Indonesia;Upper middle income
Iraq;Upper middle income
Jamaica;Upper middle income
Kazakhstan;Upper middle income
Kosovo;Upper middle income
Libya;Upper middle income
Malaysia;Upper middle income
Maldives;Upper middle income
Marshall Islands;Upper middle income
Mauritius;Upper middle income
Mexico;Upper middle income
Moldova;Upper middle income
Montenegro;Upper middle income
Namibia;Upper middle income
North Macedonia;Upper middle income
Palau;Upper middle income
Paraguay;Upper middle income
Peru;Upper middle income
Russian Federation;Upper middle income
Serbia;Upper middle income
South Africa;Upper middle income
St. Lucia;Upper middle income
St. Vincent and the Grenadines;Upper middle income
Suriname;Upper middle income
Thailand;Upper middle income
Tonga;Upper middle income
Turkiye;Upper middle income
Turkmenistan;Upper middle income
Tuvalu;Upper middle income
West Bank and Gaza;Upper middle income
Algeria;Lower middle income
Angola;Lower middle income
Bangladesh;Lower middle income
Benin;Lower middle income
Bhutan;Lower middle income
Bolivia;Lower middle income
Cabo Verde;Lower middle income
Cambodia;Lower middle income
Cameroon;Lower middle income
Comoros;Lower middle income
Congo, Rep.;Lower middle income
Cote d'Ivoire;Lower middle income
Djibouti;Lower middle income
Egypt, Arab Rep.;Lower middle income
Eswatini;Lower middle income
Ghana;Lower middle income
Guinea;Lower middle income
Haiti;Lower middle income
Honduras;Lower middle income
India;Lower middle income
Iran, Islamic Rep.;Lower middle income
Jordan;Lower middle income
Kenya;Lower middle income
Kiribati;Lower middle income
Kyrgyz Republic;Lower middle income
Lao PDR;Lower middle income
Lebanon;Lower middle income
Lesotho;Lower middle income
Mauritania;Lower middle income
Micronesia, Fed. Sts.;Lower middle income
Mongolia;Lower middle income
Morocco;Lower middle income
Myanmar;Lower middle income
Nepal;Lower middle income
Nicaragua;Lower middle income
Nigeria;Lower middle income
Pakistan;Lower middle income
Papua New Guinea;Lower middle income
Philippines;Lower middle income
Samoa;Lower middle income
Sao Tome and Principe;Lower middle income
Senegal;Lower middle income
Solomon Islands;Lower middle income
Sri Lanka;Lower middle income
Tajikistan;Lower middle income
Tanzania;Lower middle income
Timor-Leste;Lower middle income
Tunisia;Lower middle income
Ukraine;Lower middle income
Uzbekistan;Lower middle income
Vanuatu;Lower middle income
Vietnam;Lower middle income
Zambia;Lower middle income
Zimbabwe;Lower middle income
American Samoa;High income
Andorra;High income
Antigua and Barbuda;High income
Aruba;High income
Australia;High income
Austria;High income
Bahamas, The;High income
Bahrain;High income
Barbados;High income
Belgium;High income
Bermuda;High income
British Virgin Islands;High income
Brunei Darussalam;High income
Canada;High income
Cayman Islands;High income
Channel Islands;High income
Chile;High income
Croatia;High income
Curacao;High income
Cyprus;High income
Czechia;High income
Denmark;High income
Estonia;High income
Faroe Islands;High income
Finland;High income
France;High income
French Polynesia;High income
Germany;High income
Gibraltar;High income
Greece;High income
Greenland;High income
Guam;High income
Guyana;High income
Hong Kong SAR, China;High income
Hungary;High income
Iceland;High income
Ireland;High income
Isle of Man;High income
Israel;High income
Italy;High income
Japan;High income
Korea, Rep.;High income
Kuwait;High income
Latvia;High income
Liechtenstein;High income
Lithuania;High income
Luxembourg;High income
Macao SAR, China;High income
Malta;High income
Monaco;High income
Nauru;High income
Netherlands;High income
New Caledonia;High income
New Zealand;High income
Northern Mariana Islands;High income
Norway;High income
Oman;High income
Panama;High income
Poland;High income
Portugal;High income
Puerto Rico;High income
Qatar;High income
Romania;High income
San Marino;High income
Saudi Arabia;High income
Seychelles;High income
Singapore;High income
Sint Maarten (Dutch part);High income
Slovak Republic;High income
Slovenia;High income
Spain;High income
St. Kitts and Nevis;High income
St. Martin (French part);High income
Sweden;High income
Switzerland;High income
Trinidad and Tobago;High income
Turks and Caicos Islands;High income
United Arab Emirates;High income
United Kingdom;High income
United States;High income
Uruguay;High income
Virgin Islands (U.S.);High income
Venezuela, RB;Not Classified
